stu_original_order,ST004D01T,IMMIG,REPEAT,AGE,PAREDINT,BMMJ1,BFMJ2,HISEI,DURECEC,BSMJ,MMINS,LMINS,SMINS,TMINS,FCFMLRTY,SCCHANGE,CHANGE,STUBMI,ESCS,UNDREM,METASUM,METASPAM,ICTHOME,ICTSCH,HOMEPOS,CULTPOSS,HEDRES,WEALTH,ICTRES,DISCLIMA,TEACHSUP,DIRINS,PERFEED,EMOSUPS,STIMREAD,ADAPTIVITY,TEACHINT,JOYREAD,SCREADCOMP,SCREADDIFF,PERCOMP,PERCOOP,ATTLNACT,COMPETE,WORKMAST,GFOFAIL,EUDMO,SWBP,RESILIENCE,MASTGOAL,GCSELFEFF,GCAWARE,ATTIMM,INTCULT,PERSPECT,COGFLEX,RESPECT,AWACOM,GLOBMIND,DISCRIM,BELONG,BEINGBULLIED,ENTUSE,HOMESCH,USESCH,INTICT,COMPICT,AUTICT,SOIAICT,ICTCLASS,ICTOUTSIDE,INFOCAR,INFOJOB1,INFOJOB2,FLCONFIN,FLCONICT,FLSCHOOL,FLFAMILY,BODYIMA,SOCONPA,W_FSTUWT
8270,2.0,1.0,0.0,15.75,12.0,54.55,29.18,54.55,2.0,51.5,220.0,220.0,0.0,1650.0,5.0,,,,-0.8158,0.45,0.59,-1.41,,,-1.3356,-0.7075,-1.0118,-0.8567,-1.5445,-1.0826,-1.1481,-0.7139,-1.6391,-0.6576,-1.3412,-0.2644,-1.0346,-0.4389,-0.5485,0.409,-1.558,-0.9391,1.0844,0.1956,0.2119,-0.9823,-0.6723,0.6502,-0.0614,-0.8444,-0.2721,-0.5368,-0.2312,-0.5669,-1.274,-0.2417,-0.054,-0.6937,-0.1115,-0.5252,0.3241,-0.7823,,,,,,,,,,,,,-0.5238,,1.0775,-0.3855,,,9.12959
18270,1.0,3.0,1.0,15.75,3.0,,,,3.0,75.13,220.0,220.0,110.0,1650.0,,,,,-2.7449,-0.94,-1.34,1.33,,,-0.4448,-0.5491,-0.6853,0.1307,-0.8794,0.2108,1.314,0.7198,-0.3253,-0.6576,-0.103,1.1853,-0.2934,-0.8176,-0.5485,0.409,-0.6142,,-0.6583,0.1956,-0.454,0.4637,-0.1652,-0.5928,-0.0614,-1.3162,-0.2302,-0.6113,1.4992,-0.611,-0.2045,-0.2417,0.9289,-0.4506,-0.9188,0.5881,-0.3184,-0.7823,,,,,,,,,,,,,,,,,,,6.26205
31863,2.0,1.0,1.0,16.08,14.5,46.76,17.56,46.76,,,220.0,165.0,110.0,1760.0,4.0,0.0,0.0,23.39,0.005,1.15,0.59,1.33,9.0,5.0,0.0075,0.5143,-0.6853,-0.0741,-0.349,0.2377,-0.6262,-0.1803,-0.6555,0.2127,-0.9225,-0.1716,0.1744,-0.9016,-0.9323,-0.0362,-0.9514,-0.3047,0.0083,1.1811,-0.3599,-1.0109,-0.267,1.2386,0.021,-1.2137,1.3434,-0.0549,-0.2014,-0.6544,-0.116,1.4543,0.9289,-0.534,0.133,0.9385,0.4766,-0.7823,-0.0976,-0.4798,-0.7578,-0.0186,0.1782,0.0979,0.7595,0.5207,0.7709,-0.0393,-0.8851,-0.0474,-0.6826,-0.3051,-0.6368,0.3276,0.8357,0.0157,28.67168
31473,1.0,1.0,0.0,15.67,14.5,29.73,42.3,42.3,3.0,70.1,200.0,200.0,150.0,1500.0,3.0,0.0,0.0,19.68,-0.3694,1.15,0.21,0.87,9.0,8.0,-0.6764,-0.8404,-0.6853,-0.337,-0.349,0.5156,1.314,0.4301,0.0728,0.3622,0.2464,0.5464,0.1744,2.6131,1.2374,-0.6311,-1.558,0.6012,1.0844,-0.9792,1.7124,1.8905,1.348,1.2386,2.3693,-0.2151,0.855,-0.1355,1.4992,0.2865,0.879,0.2165,0.9289,2.0513,2.0049,-1.1549,1.4326,-0.7823,-0.321,-0.1448,0.7629,-0.7386,1.1228,0.8975,-0.8425,0.2861,-0.314,0.2442,-0.8851,-0.0474,-1.4144,-1.2972,-0.9888,2.402,-0.5858,0.9078,10.42103
19454,1.0,1.0,0.0,15.83,14.5,25.04,,25.04,3.0,,,,,,12.0,0.0,0.0,31.6,-0.4287,,,,8.0,4.0,-0.0394,1.0094,-0.6853,-0.216,-0.2116,-1.0963,1.314,1.8202,2.0165,,1.1506,2.0073,1.2403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9369,-0.2273,-0.0393,0.5109,0.202,,,0.3016,-0.2188,-1.5386,-0.0974,3.22389
27565,1.0,3.0,0.0,15.42,16.0,29.47,25.06,29.47,,43.85,240.0,180.0,180.0,1620.0,7.0,1.0,1.0,,-0.4881,1.5,1.36,1.33,7.0,6.0,-0.9474,-1.8115,-0.9779,-0.3628,-0.5742,-0.6633,-0.2023,-0.328,-1.6391,-0.6439,0.313,0.7368,1.8245,0.3703,-0.4419,-0.416,2.0378,-0.9391,-1.4024,-1.7664,0.0273,-0.0845,-1.7389,-0.5928,-0.8474,-1.7101,-0.0903,0.8109,1.4992,1.6052,0.2828,-0.4951,0.9289,1.143,-0.2535,-1.1549,-0.3184,0.6725,0.9361,0.2605,0.5758,1.3444,1.2754,0.499,-0.4741,-0.2905,-0.5494,0.2442,0.194,0.8028,-0.8071,0.8697,-0.045,0.6916,-1.0908,-0.8992,37.32679
13398,2.0,1.0,0.0,16.08,14.5,17.0,70.34,70.34,2.0,81.92,,,,,14.0,0.0,0.0,,0.9845,1.15,1.36,1.33,11.0,6.0,1.2604,0.0139,1.0788,1.5908,0.6901,0.377,1.314,0.0345,0.0728,,0.5102,-0.1716,0.9684,-0.2704,0.1222,-0.0697,,,-0.6583,2.0054,0.7146,-0.4342,1.1963,0.1869,2.3693,0.5761,0.9128,0.604,,,-0.2045,0.2595,,-0.1577,,,2.7249,,,,,,,,,2.4394,,0.4942,1.9988,-1.4728,0.6582,-0.7413,0.9466,2.402,,,4.67503
11430,1.0,1.0,0.0,15.92,12.0,76.65,70.34,76.65,3.0,76.49,,,,,,0.0,0.0,18.34,0.4884,0.45,0.21,-0.04,10.0,6.0,0.7513,-0.6686,1.1793,1.4304,2.6563,-0.1555,-0.3971,-0.2546,-1.256,1.0346,0.428,-0.2608,0.7222,-2.7114,-0.849,0.5371,0.6912,,1.0844,1.1811,0.0273,1.1422,0.9269,1.2386,-0.8109,1.1969,-0.4269,1.2938,1.4992,-0.4982,0.0569,0.6715,0.9289,-0.5229,0.5799,-0.2861,0.9423,,,,,,,,,,-1.3048,-0.1215,-0.0726,0.7196,,,,0.518,-0.2393,0.1965,5.10994
15971,2.0,1.0,0.0,15.5,3.0,,,,,,,,,,0.0,0.0,0.0,18.56,-4.3497,-1.64,-1.72,-1.41,11.0,0.0,-4.2703,-0.1824,-4.4106,-6.8433,-3.768,-1.5747,-2.7106,-2.9425,-1.6391,-1.8624,-2.3003,2.0073,-2.2177,-2.2976,-2.4403,,1.0449,-2.1428,-2.5375,-0.6151,-2.6979,-1.8939,-2.1464,-3.0666,-3.1675,-2.5252,-2.0015,-2.3127,-2.264,-2.4881,-3.2053,-3.2784,-3.1739,-2.7948,-2.8778,0.4809,-3.2367,3.8591,-0.3946,-2.2971,-1.7161,-0.6916,-1.2295,-0.7683,-2.1763,-1.2188,-0.7509,,,,1.1935,2.0781,-1.5638,-0.2551,1.2117,,9.25896
34673,1.0,1.0,1.0,15.67,12.0,25.04,29.18,29.18,2.0,,,,,,5.0,2.0,3.0,,-1.0566,,,,9.0,6.0,-0.7624,-0.431,-0.6853,-0.9115,-0.14,-0.3528,1.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0885,,0.0657,0.2657,-1.2295,-0.7921,-0.1873,0.5905,-1.3048,-1.1554,0.4135,-1.4728,-2.184,-2.1589,-0.6368,0.5549,1.3115,0.7033,2.74715
